Campus,PCC Building ID,Annual Use,Annual Charge
Sylvania,1110 - SS - SOCIAL SCIENCE ,  116560 ,  12310 
SE campus,4040 - SCOM - STUDENT COMMONS,  8169 ,  1295 
SE campus,4010 - MSH - MT. SCOTT HALL,  938100 ,  91987 
Sylvania,1120 - ST - SCIENCE TECHNOLOGY,  381120 ,  41188 
Newberg,5400 - NB - NEWBERG BUILDING,  141360 ,  17434 
CLIMB,5100 - CLIMB CENTER,  213480 ,  23432 
Downtown,5200 - DOWNTOWN CENTER,  192500 ,  19001 
Sylvania,1010 - AM - AUTOMOTIVE METALS,  141440 ,  19809 
Rock Creek,3040 - B4 - BUILDING 4,  62974 ,  7213 
Sylvania,1120 - ST - SCIENCE TECHNOLOGY,  157520 ,  19745 
SE campus,4005 - LIB - LIBRARY,  277120 ,  28276 
CDSB,6010 - CDSB - CENTRAL DISTRIBUTION SERVICES BLDG,  52095 ,  6268 
Sylvania,1000GC - Sylvania Campus,  970 ,  362 
SE campus,4000GC - SOUTHEAST CAMPUS,  3744 ,  620 
Downtown,5200 - DOWNTOWN CENTER,  119000 ,  14370 
Rock Creek,3110 - RC KENNEL,  11240 ,  1507 
Willow Creek,5600 - WCB - WILLOW CREEK BUILDING,  661200 ,  66359 
SE campus,4000GC - SOUTHEAST CAMPUS,  7250 ,  1077 
SE campus,4030 - SEB - SOUTHEAST ADMINISTRATIVE BUILDING,  118720 ,  12866 
Sylvania,1050 - CT - COMMUNICATION TECHNOLOGY,  538200 ,  54905 
Rock Creek,3030 - B3 - BUILDING 3,  533600 ,  60743 
Rock Creek,3020 - B2 - BUILDING 2,  870200 ,  85029 
Sylvania,1130 - TCB - TECHNOLOGY CLASSROOM BUILDING,  465800 ,  51447 
Rock Creek,3000GC - ROCK CREEK CAMPUS,  960 ,  348 
Sylvania,1030 - CC - COLLEGE CENTER,  2270400 ,  193395 
Rock Creek,3020 - B2- BUILDING 2,  456000 ,  54570 
Sylvania,1020 - BK - BOOKSTORE,  354240 ,  37748 
Rock Creek,3000GC - ROCK CREEK CAMPUS,  1440 ,  410 
Sylvania,1080 - LIB - LIBRARY SY,  562720 ,  62700 
SE campus,4040 - SCOM - STUDENT COMMONS,  523200 ,  63802 
Sylvania,1100 - SCB - SOUTH CLASSROOM BUILLDING,  116240 ,  17853 
Rock Creek,3070 - B7 - BUILDING 7 ,  945600 ,  96072 
Rock Creek,3170 - FARM SHOP,  118640 ,  11852 
Rock Creek,3010 - B1 - BUILDING 1,  88000 ,  9425 
Sylvania,1070 - HT - HEALTH TECHNOLOGY,  1237400 ,  116738 
Sylvania,1000GC - SYLVANIA CAMPUS,  396 ,  297 
Rock Creek,3060 - B6 - BUILDING 6,  251400 ,  25706 
SE campus,4000GC - SOUTHEAST CAMPUS,  13483 ,  1896 
Sylvania,1030 - CC - COLLEGE CENTER,  264200 ,  31802 
Sylvania,1060 - HP- HEAT PLANT,  342120 ,  45321 
SE campus,4003 - CHA - COMMUNITY HALL ANNEX,  1956 ,  300 
SE campus,4003 - CHA - COMMUNITY HALL ANNEX,  163440 ,  20676 
Rock Creek,3090 - B9 - BUILDING 9,  61400 ,  17622 
Sylvania,1110 - SS - SOCIAL SCIENCE ,  187960 ,  24593 
Sylvania,1070 - HT - HEALTH TECHNOLOGY,  960400 ,  91126 
Rock Creek,3010 - RC KENNEL,  16358 ,  2081 
Swan Island,5700 - SWAN ISLAND,  216000 ,  23678 
Sylvania,1040 - CSB - COLLEGE SERVICES BUILDING,  230000 ,  27985 
Rock Creek,3050 - B5 - BUILDING 5,  699200 ,  71354 
Rock Creek,3080 - B8- BUILDING 8,  64160 ,  8646 
Sylvania,1000GC - Sylvania Campus,  10260 ,  1556 
Sylvania,1090 - PAC - PERFORMING ARTS CENTER,  161800 ,  23991 
Sylvania,1010 - AM - AUTOMOTIVE METALS,  293600 ,  34450 
,,0,0
